label,message
spam,"Alert: your account has been suspended, verify now at cash4u.biz"
spam,"You have been selected lowest prices on laptop, order now at cash4u.biz before offer ends"
ham,"The meeting has been moved to 7:30, see you then"
ham,Happy to help with the project this weekend
spam,"WINNER!! act now to avoid your account being closed, visit cash4u.biz"
spam,"Limited time offer lowest prices on laptop, order now at secure-verify.com before offer ends"
spam,"URGENT! your account has been suspended, verify now at get-free.co"
spam,"URGENT! exclusive deal just for you, smartwatch at 90% off, visit win-prize.net"
ham,"Just landed, will call you once I get home"
ham,Let me know if you need anything from the store
ham,Let's grab coffee sometime this week
ham,Let's grab coffee sometime this week
spam,"Dear customer hot singles in your area want to chat, text 0832060385"
ham,Great job on the presentation today!
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,What time does the movie start tonight?
ham,Mom said dinner will be ready by 7:30
spam,"URGENT! your parcel could not be delivered, pay a fee at win-prize.net"
spam,"Final notice get a loan approved instantly, no credit check, call 0715437993"
ham,Are you free this weekend to catch up?
spam,"Attention exclusive deal just for you, holiday package at 90% off, visit cash4u.biz"
spam,"You have been selected double your money in 24 hours, click cash4u.biz to invest"
ham,"Hey, are we still meeting for lunch 6pm?"
ham,"The meeting has been moved to 7:30, see you then"
spam,"FREE ENTRY your parcel could not be delivered, pay a fee at get-free.co"
ham,Can you pick up milk on your way home?
ham,Are you free this weekend to catch up?
ham,Happy to help with the project this weekend
ham,Are you free this weekend to catch up?
spam,"FREE ENTRY your subscription will renew for $50, cancel at cash4u.biz"
ham,"I'll be there in 13 minutes, traffic is bad today"
spam,You have been selected you have won a $50 cash prize! Claim now by calling 0699854353
ham,Mom said dinner will be ready by tomorrow morning
ham,"I finished the report, sending it over now"
spam,"Attention you have unclaimed rewards worth $500, respond ASAP"
ham,See you at the gym at 6pm?
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,"FREE ENTRY exclusive deal just for you, laptop at 90% off, visit cash4u.biz"
spam,"You have been selected double your money in 24 hours, click get-free.co to invest"
spam,"Attention act now to avoid your account being closed, visit win-prize.net"
spam,"You have been selected you have unclaimed rewards worth $5000, respond ASAP"
ham,See you at the gym at 6pm?
spam,"URGENT! hot singles in your area want to chat, text 0654235116"
ham,Happy birthday! Hope you have a wonderful day
spam,"Alert: you have unclaimed rewards worth £250, respond ASAP"
spam,Limited time offer you've won a brand new voucher! Text WIN to 0158692322 to claim
ham,"I finished the report, sending it over now"
ham,Happy to help with the project this weekend
ham,See you at the gym at 5pm?
spam,"You have been selected you are eligible for a free laptop, call 0962309130 now"
ham,"The meeting has been moved to tomorrow morning, see you then"
ham,What time does the movie start tonight?
spam,"Limited time offer lowest prices on holiday package, order now at win-prize.net before offer ends"
ham,Don't forget about the class tomorrow at 6pm
ham,Mom said dinner will be ready by 8pm
ham,"The meeting has been moved to 9am, see you then"
ham,"I finished the report, sending it over now"
ham,Happy to help with the project this weekend
ham,Don't forget about the dinner tomorrow at tomorrow morning
spam,"Attention your account has been suspended, verify now at get-free.co"
ham,Don't forget about the game tomorrow at tomorrow morning
spam,"Attention your subscription will renew for $5000, cancel at bit.ly/claimnow"
ham,Let's grab coffee sometime this week
ham,"The meeting has been moved to 8pm, see you then"
ham,Happy to help with the project this weekend
spam,"URGENT! double your money in 24 hours, click win-prize.net to invest"
spam,"URGENT! your account has been suspended, verify now at win-prize.net"
ham,"The meeting has been moved to 5pm, see you then"
spam,"WINNER!! act now to avoid your account being closed, visit cash4u.biz"
ham,"The meeting has been moved to noon, see you then"
spam,"WINNER!! you are eligible for a free cruise ticket, call 0339596292 now"
spam,"Final notice your loan of $1000 has been approved, click secure-verify.com to receive"
spam,"You have been selected act now to avoid your account being closed, visit win-prize.net"
ham,"Just landed, will call you once I get home"
ham,Are you free this weekend to catch up?
ham,Don't forget about the meeting tomorrow at tomorrow morning
spam,"Alert: your loan of $50 has been approved, click win-prize.net to receive"
ham,Are you free this weekend to catch up?
spam,"Congratulations get a loan approved instantly, no credit check, call 0824008427"
ham,"I finished the report, sending it over now"
ham,Don't forget about the party tomorrow at 9am
spam,"Limited time offer exclusive deal just for you, holiday package at 90% off, visit cash4u.biz"
ham,"I finished the report, sending it over now"
ham,Let's grab coffee sometime this week
spam,"Limited time offer your parcel could not be delivered, pay a fee at cash4u.biz"
ham,Don't forget about the appointment tomorrow at 7:30
spam,"Limited time offer your parcel could not be delivered, pay a fee at cash4u.biz"
ham,Don't forget about the game tomorrow at 9am
ham,What time does the movie start tonight?
spam,"URGENT! hot singles in your area want to chat, text 0490278742"
ham,Are you free this weekend to catch up?
spam,"Congratulations act now to avoid your account being closed, visit get-free.co"
spam,"FREE ENTRY claim your free holiday package today, reply YES to 0587603669"
spam,"Final notice your parcel could not be delivered, pay a fee at get-free.co"
ham,See you at the gym at 8pm?
spam,"Limited time offer act now to avoid your account being closed, visit secure-verify.com"
ham,"I'm running late, be there in 2 mins"
ham,Can you send me the notes from class?
spam,"WINNER!! hot singles in your area want to chat, text 0520585277"
ham,"Just landed, will call you once I get home"
spam,URGENT! you have won a £250 cash prize! Claim now by calling 0242786801
ham,What time does the movie start tonight?
ham,Let's grab coffee sometime this week
ham,Happy birthday! Hope you have a wonderful day
spam,"Congratulations claim your free cruise ticket today, reply YES to 0704303054"
ham,Can you pick up some groceries on your way home?
spam,"Alert: your subscription will renew for $10,000, cancel at bit.ly/claimnow"
ham,Don't forget about the party tomorrow at 7:30
spam,"Alert: act now to avoid your account being closed, visit bit.ly/claimnow"
spam,"Congratulations your account has been suspended, verify now at get-free.co"
spam,"Congratulations lowest prices on voucher, order now at cash4u.biz before offer ends"
spam,"Congratulations your subscription will renew for $10,000, cancel at win-prize.net"
ham,Let me know if you need anything from the store
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,"You have been selected you are eligible for a free iPhone, call 0798089324 now"
ham,"The meeting has been moved to 5pm, see you then"
ham,Can you send me the notes from class?
ham,Can you pick up the kids on your way home?
spam,"FREE ENTRY your subscription will renew for $1000, cancel at get-free.co"
spam,"Congratulations hot singles in your area want to chat, text 0147679764"
ham,Mom said dinner will be ready by 8pm
spam,Attention you have won a $50 cash prize! Claim now by calling 0136783777
spam,"WINNER!! your subscription will renew for $5000, cancel at bit.ly/claimnow"
ham,Happy birthday! Hope you have a wonderful day
ham,Don't forget about the party tomorrow at 9am
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,"Final notice your account has been suspended, verify now at bit.ly/claimnow"
ham,Happy birthday! Hope you have a wonderful day
ham,"Hey, are we still meeting for lunch 7:30?"
ham,"I'll be there in 19 minutes, traffic is bad today"
ham,Don't forget about the class tomorrow at 9am
ham,"The meeting has been moved to tomorrow morning, see you then"
spam,URGENT! you have won a $500 cash prize! Claim now by calling 0324451076
spam,"Limited time offer your loan of $5000 has been approved, click get-free.co to receive"
spam,"URGENT! your subscription will renew for £250, cancel at bit.ly/claimnow"
ham,"Just landed, will call you once I get home"
ham,See you at the gym at 5pm?
ham,Can you send me the notes from class?
ham,"Just landed, will call you once I get home"
ham,"Just landed, will call you once I get home"
ham,Let's grab coffee sometime this week
spam,"Final notice claim your free laptop today, reply YES to 0284511544"
ham,See you at the gym at 7:30?
ham,"Hey, are we still meeting for lunch 7:30?"
spam,WINNER!! you've won a brand new voucher! Text WIN to 0872624731 to claim
ham,"I finished the report, sending it over now"
spam,"You have been selected you have unclaimed rewards worth $5000, respond ASAP"
ham,Don't forget about the appointment tomorrow at 9am
ham,"The meeting has been moved to 5pm, see you then"
spam,"You have been selected your parcel could not be delivered, pay a fee at secure-verify.com"
spam,"URGENT! double your money in 24 hours, click get-free.co to invest"
ham,"Hey, are we still meeting for lunch 6pm?"
ham,"Hey, are we still meeting for lunch 6pm?"
spam,"Congratulations act now to avoid your account being closed, visit bit.ly/claimnow"
ham,Don't forget about the dinner tomorrow at 5pm
spam,"Dear customer you are eligible for a free iPhone, call 0903404384 now"
ham,"The meeting has been moved to tomorrow morning, see you then"
spam,"Attention hot singles in your area want to chat, text 0921722332"
ham,Let me know if you need anything from the store
spam,"Attention exclusive deal just for you, laptop at 90% off, visit cash4u.biz"
ham,Mom said dinner will be ready by 9am
spam,Alert: you've won a brand new voucher! Text WIN to 0291212775 to claim
ham,Are you free this weekend to catch up?
spam,"Alert: you have won a $10,000 cash prize! Claim now by calling 0051238282"
ham,Happy birthday! Hope you have a wonderful day
ham,Great job on the presentation today!
spam,"FREE ENTRY hot singles in your area want to chat, text 0584982544"
ham,"I'll be there in 7 minutes, traffic is bad today"
spam,"Congratulations exclusive deal just for you, cruise ticket at 90% off, visit secure-verify.com"
ham,"I'll be there in 12 minutes, traffic is bad today"
ham,"Hey, are we still meeting for lunch 8pm?"
spam,"Final notice your parcel could not be delivered, pay a fee at secure-verify.com"
ham,"Just landed, will call you once I get home"
ham,Mom said dinner will be ready by 9am
spam,"You have been selected your loan of $10,000 has been approved, click get-free.co to receive"
ham,"I'm running late, be there in 3 mins"
ham,Don't forget about the appointment tomorrow at 5pm
spam,"Final notice lowest prices on holiday package, order now at secure-verify.com before offer ends"
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,"Just landed, will call you once I get home"
ham,"The meeting has been moved to tomorrow morning, see you then"
spam,"Limited time offer your parcel could not be delivered, pay a fee at bit.ly/claimnow"
ham,Are you free this weekend to catch up?
ham,What time does the movie start tonight?
spam,"Attention exclusive deal just for you, voucher at 90% off, visit get-free.co"
ham,"The meeting has been moved to 7:30, see you then"
ham,Happy birthday! Hope you have a wonderful day
spam,"WINNER!! you have unclaimed rewards worth $1000, respond ASAP"
ham,Let's grab coffee sometime this week
ham,"Hey, are we still meeting for lunch noon?"
ham,Are you free this weekend to catch up?
spam,"Limited time offer claim your free laptop today, reply YES to 0327315851"
spam,"Alert: you have unclaimed rewards worth £250, respond ASAP"
ham,Mom said dinner will be ready by 8pm
spam,"Attention your loan of £250 has been approved, click win-prize.net to receive"
ham,Let me know if you need anything from the store
spam,"WINNER!! claim your free laptop today, reply YES to 0267586926"
spam,"Congratulations hot singles in your area want to chat, text 0685160481"
ham,"I'm running late, be there in 17 mins"
ham,Let's grab coffee sometime this week
ham,"The meeting has been moved to noon, see you then"
ham,Great job on the presentation today!
ham,Great job on the presentation today!
spam,"Attention hot singles in your area want to chat, text 0148932528"
spam,"WINNER!! you have unclaimed rewards worth £250, respond ASAP"
spam,"Attention you are eligible for a free smartwatch, call 0774348734 now"
spam,Dear customer you've won a brand new gift card! Text WIN to 0843443757 to claim
ham,Can you send me the notes from class?
ham,Happy birthday! Hope you have a wonderful day
ham,Happy birthday! Hope you have a wonderful day
spam,"Final notice your parcel could not be delivered, pay a fee at win-prize.net"
ham,"I finished the report, sending it over now"
ham,Can you pick up the kids on your way home?
spam,"Limited time offer get a loan approved instantly, no credit check, call 0904530174"
ham,What time does the movie start tonight?
ham,"I'm running late, be there in 4 mins"
spam,"URGENT! act now to avoid your account being closed, visit secure-verify.com"
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,"WINNER!! your loan of $1000 has been approved, click bit.ly/claimnow to receive"
ham,"The meeting has been moved to 5pm, see you then"
spam,WINNER!! you've won a brand new laptop! Text WIN to 0000307562 to claim
ham,Don't forget about the appointment tomorrow at noon
ham,What time does the movie start tonight?
spam,"Attention exclusive deal just for you, smartwatch at 90% off, visit cash4u.biz"
ham,"The meeting has been moved to 8pm, see you then"
ham,"The meeting has been moved to 8pm, see you then"
spam,"Dear customer double your money in 24 hours, click get-free.co to invest"
ham,"The meeting has been moved to 8pm, see you then"
spam,"WINNER!! your account has been suspended, verify now at cash4u.biz"
spam,"Congratulations exclusive deal just for you, holiday package at 90% off, visit secure-verify.com"
spam,"URGENT! act now to avoid your account being closed, visit cash4u.biz"
spam,"You have been selected you have unclaimed rewards worth $50, respond ASAP"
ham,Can we reschedule our call to tomorrow morning?
ham,Don't forget about the game tomorrow at 5pm
ham,"Hey, are we still meeting for lunch 6pm?"
ham,"The meeting has been moved to 5pm, see you then"
ham,Let me know if you need anything from the store
spam,"URGENT! claim your free holiday package today, reply YES to 0687002176"
ham,"Just landed, will call you once I get home"
spam,"Dear customer double your money in 24 hours, click cash4u.biz to invest"
ham,"I'll be there in 18 minutes, traffic is bad today"
ham,"I'll be there in 4 minutes, traffic is bad today"
ham,Are you free this weekend to catch up?
spam,Alert: you have won a £250 cash prize! Claim now by calling 0115262181
spam,"Final notice your loan of $5000 has been approved, click get-free.co to receive"
ham,Great job on the presentation today!
ham,"I finished the report, sending it over now"
spam,"WINNER!! you have unclaimed rewards worth $1000, respond ASAP"
spam,Dear customer you've won a brand new laptop! Text WIN to 0263982146 to claim
ham,"I'll be there in 11 minutes, traffic is bad today"
spam,"Limited time offer your subscription will renew for $50, cancel at bit.ly/claimnow"
spam,"Dear customer you are eligible for a free laptop, call 0065940139 now"
ham,Happy birthday! Hope you have a wonderful day
spam,"Attention get a loan approved instantly, no credit check, call 0959953428"
spam,"Alert: you are eligible for a free laptop, call 0701462638 now"
spam,"Alert: lowest prices on smartwatch, order now at secure-verify.com before offer ends"
spam,"Attention your subscription will renew for £250, cancel at bit.ly/claimnow"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,You have been selected you have won a £250 cash prize! Claim now by calling 0147700541
spam,"You have been selected hot singles in your area want to chat, text 0706537947"
ham,Great job on the presentation today!
spam,"Congratulations your loan of $5000 has been approved, click cash4u.biz to receive"
spam,"Attention you have unclaimed rewards worth £250, respond ASAP"
spam,"WINNER!! you have won a $10,000 cash prize! Claim now by calling 0332181960"
ham,See you at the gym at tomorrow morning?
ham,Don't forget about the appointment tomorrow at tomorrow morning
ham,Can you send me the notes from class?
ham,Happy to help with the project this weekend
spam,"Attention lowest prices on iPhone, order now at get-free.co before offer ends"
ham,Mom said dinner will be ready by 9am
spam,"You have been selected you are eligible for a free laptop, call 0955271774 now"
spam,"WINNER!! your account has been suspended, verify now at win-prize.net"
ham,Happy to help with the project this weekend
ham,See you at the gym at 6pm?
spam,WINNER!! you've won a brand new voucher! Text WIN to 0480396522 to claim
ham,Are you free this weekend to catch up?
ham,See you at the gym at 5pm?
spam,"Alert: hot singles in your area want to chat, text 0739473121"
ham,Can you pick up bread on your way home?
ham,Happy to help with the project this weekend
ham,Mom said dinner will be ready by 5pm
ham,Can you send me the notes from class?
spam,Congratulations you've won a brand new gift card! Text WIN to 0199410137 to claim
ham,Mom said dinner will be ready by 6pm
ham,"I'll be there in 14 minutes, traffic is bad today"
ham,"Just landed, will call you once I get home"
spam,"Alert: exclusive deal just for you, iPhone at 90% off, visit get-free.co"
ham,"Just landed, will call you once I get home"
spam,"Limited time offer you have won a $10,000 cash prize! Claim now by calling 0413836702"
spam,"Limited time offer get a loan approved instantly, no credit check, call 0877175355"
ham,"Just landed, will call you once I get home"
ham,"I'll be there in 18 minutes, traffic is bad today"
spam,"FREE ENTRY exclusive deal just for you, holiday package at 90% off, visit win-prize.net"
spam,FREE ENTRY you've won a brand new holiday package! Text WIN to 0498941343 to claim
ham,Great job on the presentation today!
ham,Happy birthday! Hope you have a wonderful day
spam,"You have been selected act now to avoid your account being closed, visit bit.ly/claimnow"
ham,Mom said dinner will be ready by noon
ham,Can you pick up some groceries on your way home?
ham,Can you pick up some groceries on your way home?
ham,Let's grab coffee sometime this week
spam,"Dear customer you have unclaimed rewards worth $50, respond ASAP"
ham,"Hey, are we still meeting for lunch noon?"
ham,Let me know if you need anything from the store
ham,"I finished the report, sending it over now"
ham,Can you pick up my package on your way home?
spam,"URGENT! lowest prices on laptop, order now at bit.ly/claimnow before offer ends"
spam,"WINNER!! act now to avoid your account being closed, visit win-prize.net"
ham,Happy birthday! Hope you have a wonderful day
ham,"I'll be there in 17 minutes, traffic is bad today"
spam,"Attention your account has been suspended, verify now at win-prize.net"
ham,Can you pick up some groceries on your way home?
ham,Let me know if you need anything from the store
ham,Can you send me the notes from class?
ham,Can we reschedule our call to noon?
ham,"Just landed, will call you once I get home"
ham,Are you free this weekend to catch up?
ham,"The meeting has been moved to 8pm, see you then"
ham,"Hey, are we still meeting for lunch 5pm?"
spam,"Limited time offer exclusive deal just for you, iPhone at 90% off, visit cash4u.biz"
ham,See you at the gym at 8pm?
spam,"Final notice your loan of $50 has been approved, click secure-verify.com to receive"
ham,Happy birthday! Hope you have a wonderful day
ham,Can you pick up my package on your way home?
spam,"Attention claim your free smartwatch today, reply YES to 0801326773"
spam,"Alert: your parcel could not be delivered, pay a fee at get-free.co"
ham,"Hey, are we still meeting for lunch tomorrow morning?"
ham,Happy birthday! Hope you have a wonderful day
ham,"I'll be there in 20 minutes, traffic is bad today"
spam,"URGENT! double your money in 24 hours, click bit.ly/claimnow to invest"
ham,Great job on the presentation today!
ham,Happy birthday! Hope you have a wonderful day
spam,Attention you've won a brand new gift card! Text WIN to 0251354278 to claim
ham,Don't forget about the class tomorrow at tomorrow morning
spam,"Alert: you have unclaimed rewards worth $1000, respond ASAP"
spam,"Dear customer your parcel could not be delivered, pay a fee at secure-verify.com"
ham,Are you free this weekend to catch up?
spam,"URGENT! double your money in 24 hours, click bit.ly/claimnow to invest"
spam,"FREE ENTRY your account has been suspended, verify now at get-free.co"
ham,"Just landed, will call you once I get home"
ham,Happy to help with the project this weekend
spam,"Attention hot singles in your area want to chat, text 0578759856"
ham,What time does the movie start tonight?
spam,"Limited time offer exclusive deal just for you, cruise ticket at 90% off, visit get-free.co"
spam,Attention you've won a brand new cruise ticket! Text WIN to 0735977468 to claim
ham,Happy birthday! Hope you have a wonderful day
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,"Dear customer your account has been suspended, verify now at win-prize.net"
spam,"You have been selected you are eligible for a free gift card, call 0161369681 now"
ham,Let me know if you need anything from the store
spam,"Dear customer your account has been suspended, verify now at get-free.co"
ham,"I'm running late, be there in 6 mins"
ham,"I'm running late, be there in 6 mins"
spam,"WINNER!! get a loan approved instantly, no credit check, call 0349578856"
ham,Mom said dinner will be ready by 9am
spam,"Alert: your loan of $5000 has been approved, click bit.ly/claimnow to receive"
spam,"Congratulations you have unclaimed rewards worth $1000, respond ASAP"
spam,Final notice you've won a brand new iPhone! Text WIN to 0656670106 to claim
ham,Happy to help with the project this weekend
ham,Can you send me the notes from class?
spam,"WINNER!! you are eligible for a free laptop, call 0507925241 now"
ham,See you at the gym at 7:30?
ham,"The meeting has been moved to 5pm, see you then"
ham,Can you pick up bread on your way home?
spam,"Limited time offer you have unclaimed rewards worth $5000, respond ASAP"
spam,Congratulations you've won a brand new voucher! Text WIN to 0432921277 to claim
ham,What time does the movie start tonight?
ham,Let's grab coffee sometime this week
spam,Limited time offer you have won a $5000 cash prize! Claim now by calling 0317139005
spam,"Attention you have unclaimed rewards worth £250, respond ASAP"
ham,Can you pick up milk on your way home?
ham,"The meeting has been moved to tomorrow morning, see you then"
ham,Let me know if you need anything from the store
ham,Don't forget about the party tomorrow at 6pm
ham,"Just landed, will call you once I get home"
ham,Happy birthday! Hope you have a wonderful day
ham,Happy to help with the project this weekend
spam,"Limited time offer your account has been suspended, verify now at get-free.co"
ham,Are you free this weekend to catch up?
spam,"You have been selected exclusive deal just for you, iPhone at 90% off, visit win-prize.net"
ham,Great job on the presentation today!
ham,Let's grab coffee sometime this week
spam,"Dear customer claim your free cruise ticket today, reply YES to 0208267734"
spam,"Limited time offer claim your free voucher today, reply YES to 0473829973"
spam,"Dear customer your loan of £250 has been approved, click secure-verify.com to receive"
ham,Happy birthday! Hope you have a wonderful day
ham,Can you pick up some groceries on your way home?
spam,"Limited time offer lowest prices on laptop, order now at cash4u.biz before offer ends"
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,"I'm running late, be there in 20 mins"
ham,"The meeting has been moved to 5pm, see you then"
ham,"Just landed, will call you once I get home"
ham,Are you free this weekend to catch up?
ham,"Hey, are we still meeting for lunch 8pm?"
spam,"Final notice you are eligible for a free gift card, call 0861793271 now"
spam,"Alert: lowest prices on voucher, order now at cash4u.biz before offer ends"
spam,"You have been selected double your money in 24 hours, click win-prize.net to invest"
ham,Let me know if you need anything from the store
spam,"Final notice exclusive deal just for you, smartwatch at 90% off, visit secure-verify.com"
spam,"You have been selected hot singles in your area want to chat, text 0084124118"
ham,"Hey, are we still meeting for lunch noon?"
spam,"WINNER!! double your money in 24 hours, click get-free.co to invest"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,"WINNER!! double your money in 24 hours, click cash4u.biz to invest"
ham,Can you pick up some groceries on your way home?
spam,"Dear customer your parcel could not be delivered, pay a fee at cash4u.biz"
spam,"You have been selected get a loan approved instantly, no credit check, call 0044369957"
spam,"You have been selected your loan of $1000 has been approved, click win-prize.net to receive"
spam,"FREE ENTRY hot singles in your area want to chat, text 0729466711"
ham,"The meeting has been moved to noon, see you then"
ham,"I'll be there in 7 minutes, traffic is bad today"
ham,"I'll be there in 13 minutes, traffic is bad today"
ham,Can you pick up the kids on your way home?
ham,"I'll be there in 8 minutes, traffic is bad today"
ham,"Hey, are we still meeting for lunch 7:30?"
spam,"URGENT! you have unclaimed rewards worth £250, respond ASAP"
ham,"Just landed, will call you once I get home"
spam,"Final notice your account has been suspended, verify now at bit.ly/claimnow"
ham,"I finished the report, sending it over now"
spam,"Dear customer your subscription will renew for $500, cancel at cash4u.biz"
ham,Happy birthday! Hope you have a wonderful day
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,Let me know if you need anything from the store
ham,What time does the movie start tonight?
ham,"The meeting has been moved to 5pm, see you then"
ham,Let's grab coffee sometime this week
ham,Let's grab coffee sometime this week
ham,Let's grab coffee sometime this week
spam,"Congratulations hot singles in your area want to chat, text 0947174648"
ham,Can you send me the notes from class?
ham,"I finished the report, sending it over now"
spam,"Attention your subscription will renew for $10,000, cancel at bit.ly/claimnow"
ham,See you at the gym at 5pm?
ham,Can we reschedule our call to 9am?
spam,"You have been selected you have unclaimed rewards worth £250, respond ASAP"
ham,Can we reschedule our call to 8pm?
spam,WINNER!! you've won a brand new smartwatch! Text WIN to 0837354033 to claim
ham,"Just landed, will call you once I get home"
ham,Can you send me the notes from class?
ham,"I'm running late, be there in 20 mins"
ham,Can you pick up my package on your way home?
ham,Can you send me the notes from class?
spam,"You have been selected exclusive deal just for you, smartwatch at 90% off, visit get-free.co"
ham,Let me know if you need anything from the store
ham,"The meeting has been moved to 5pm, see you then"
spam,"Congratulations exclusive deal just for you, smartwatch at 90% off, visit get-free.co"
spam,"FREE ENTRY you are eligible for a free gift card, call 0785969691 now"
ham,"I'm running late, be there in 17 mins"
ham,"I'll be there in 17 minutes, traffic is bad today"
spam,Attention you have won a $50 cash prize! Claim now by calling 0851656049
ham,"Hey, are we still meeting for lunch 5pm?"
ham,Let's grab coffee sometime this week
spam,"Attention your account has been suspended, verify now at cash4u.biz"
spam,"Final notice your loan of $10,000 has been approved, click get-free.co to receive"
spam,"Congratulations your account has been suspended, verify now at win-prize.net"
ham,"Just landed, will call you once I get home"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,"FREE ENTRY lowest prices on gift card, order now at win-prize.net before offer ends"
ham,See you at the gym at 9am?
ham,Are you free this weekend to catch up?
spam,"Attention get a loan approved instantly, no credit check, call 0696532871"
ham,"I'll be there in 14 minutes, traffic is bad today"
spam,"Attention get a loan approved instantly, no credit check, call 0564823662"
ham,"Hey, are we still meeting for lunch 8pm?"
spam,"Alert: your parcel could not be delivered, pay a fee at cash4u.biz"
ham,Great job on the presentation today!
ham,Mom said dinner will be ready by 5pm
ham,Are you free this weekend to catch up?
ham,"I'm running late, be there in 7 mins"
spam,WINNER!! you have won a $500 cash prize! Claim now by calling 0865719182
spam,"Limited time offer you have unclaimed rewards worth $500, respond ASAP"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,Alert: you've won a brand new laptop! Text WIN to 0424981829 to claim
ham,Let's grab coffee sometime this week
ham,"I'm running late, be there in 19 mins"
ham,Let's grab coffee sometime this week
spam,"Attention your account has been suspended, verify now at win-prize.net"
spam,"Limited time offer act now to avoid your account being closed, visit get-free.co"
ham,Can you pick up bread on your way home?
ham,Happy to help with the project this weekend
ham,Let me know if you need anything from the store
ham,Great job on the presentation today!
ham,Great job on the presentation today!
ham,Can we reschedule our call to 8pm?
spam,"Dear customer your loan of $500 has been approved, click bit.ly/claimnow to receive"
spam,Limited time offer you have won a £250 cash prize! Claim now by calling 0235733221
ham,Can you pick up milk on your way home?
spam,"Limited time offer exclusive deal just for you, smartwatch at 90% off, visit bit.ly/claimnow"
ham,Happy to help with the project this weekend
spam,Limited time offer you've won a brand new laptop! Text WIN to 0378547772 to claim
spam,"Dear customer your parcel could not be delivered, pay a fee at win-prize.net"
spam,"Final notice claim your free holiday package today, reply YES to 0329451168"
ham,Can we reschedule our call to 6pm?
